name,joints,link_length,prev_axe,dof,mu,time,Z,LCI
roll_z_0_1pitch_y_0_1pris_z_1_0pitch_x_0_1,roll_pitch__pris__pitch_,0.1_0.1__1.0__0.1_,z_y__z__x_,4,0.035,2.72,0.047,0.285
roll_z_0_1pitch_y_1_0pitch_y_0_1pitch_z_0_7,roll_pitch__pitch__pitch_,0.1_1.0__0.1__0.7_,z_y__y__z_,4,0.102,3.98,0.029,0.297
roll_z_0_1pitch_y_1_0pitch_y_0_1pitch_z_0_4,roll_pitch__pitch__pitch_,0.1_1.0__0.1__0.4_,z_y__y__z_,4,0.104,2.92,0.011,0.276
roll_z_0_1pitch_y_1_0pitch_y_0_1pitch_z_0_1,roll_pitch__pitch__pitch_,0.1_1.0__0.1__0.1_,z_y__y__z_,4,0.049,2.82,0.007,0.239
roll_z_0_1pitch_y_0_7pitch_y_1_0pitch_z_1_0,roll_pitch__pitch__pitch_,0.1_0.7__1.0__1.0_,z_y__y__z_,4,0.065,4.6,0.033,0.079
roll_z_0_1pitch_y_0_7pitch_y_1_0pitch_z_0_7,roll_pitch__pitch__pitch_,0.1_0.7__1.0__0.7_,z_y__y__z_,4,0.069,2.68,0.022,0.231
roll_z_0_1pitch_y_0_7pitch_y_1_0pitch_z_0_4,roll_pitch__pitch__pitch_,0.1_0.7__1.0__0.4_,z_y__y__z_,4,0.07,2.56,0.028,0.301
roll_z_0_1pitch_y_0_7pitch_y_1_0pitch_z_0_1,roll_pitch__pitch__pitch_,0.1_0.7__1.0__0.1_,z_y__y__z_,4,0.074,2.97,0.028,0.277
roll_z_0_1pitch_y_0_7pitch_y_0_7pitch_z_1_0,roll_pitch__pitch__pitch_,0.1_0.7__0.7__1.0_,z_y__y__z_,4,0.054,2.98,0.031,0.206
roll_z_0_1pitch_y_0_7pitch_y_0_7pitch_z_0_7,roll_pitch__pitch__pitch_,0.1_0.7__0.7__0.7_,z_y__y__z_,4,0.068,2.78,0.022,0.24
roll_z_0_1pitch_y_0_7pitch_y_0_7pitch_z_0_4,roll_pitch__pitch__pitch_,0.1_0.7__0.7__0.4_,z_y__y__z_,4,0.091,2.16,0.026,0.259
roll_z_0_1pitch_y_0_7pitch_y_0_7pitch_z_0_1,roll_pitch__pitch__pitch_,0.1_0.7__0.7__0.1_,z_y__y__z_,4,0.067,2.86,0.015,0.278
roll_z_0_1pitch_y_0_7pitch_y_0_4pitch_z_1_0,roll_pitch__pitch__pitch_,0.1_0.7__0.4__1.0_,z_y__y__z_,4,0.036,3.18,0.024,0.291
roll_z_0_1pitch_y_0_7pitch_y_0_4pitch_z_0_7,roll_pitch__pitch__pitch_,0.1_0.7__0.4__0.7_,z_y__y__z_,4,0.06,2.97,0.022,0.292
roll_z_0_1pitch_y_0_7pitch_y_0_4pitch_z_0_4,roll_pitch__pitch__pitch_,0.1_0.7__0.4__0.4_,z_y__y__z_,4,0.097,3.12,0.031,0.318
roll_z_0_1pitch_y_0_7pitch_y_0_4pitch_z_0_1,roll_pitch__pitch__pitch_,0.1_0.7__0.4__0.1_,z_y__y__z_,4,0.075,2.61,0.035,0.247
roll_z_0_1pitch_y_0_7pitch_y_0_1pitch_z_0_7,roll_pitch__pitch__pitch_,0.1_0.7__0.1__0.7_,z_y__y__z_,4,0.076,2.32,0.03,0.284
roll_z_0_1pitch_y_0_7pitch_y_0_1pitch_z_0_4,roll_pitch__pitch__pitch_,0.1_0.7__0.1__0.4_,z_y__y__z_,4,0.043,2.83,0.039,0.251
roll_z_0_1pitch_y_0_4pitch_y_1_0pitch_z_1_0,roll_pitch__pitch__pitch_,0.1_0.4__1.0__1.0_,z_y__y__z_,4,0.041,3.02,0.025,0.256
