roll ,z
pris ,z
roll ,y
roll ,y
roll ,y
roll ,y
,
,
,
roll ,z
pris ,z
roll ,y
roll ,y
roll ,y
pitch ,y
,
,
,
,
roll ,z
pris ,z
roll ,y
roll ,y
roll ,y
pris ,z
,
,
,
,
roll ,z
pris ,z
roll ,y
roll ,y
roll ,y
pris ,y
,
,
,
,
roll ,z
pris ,z
roll ,y
roll ,y
pitch ,y
roll ,y
,
,
,
,
roll ,z
pris ,z
roll ,y
roll ,y
pitch ,y
pitch ,y
,
,
,
,
roll ,z
pris ,z
roll ,y
roll ,y
pitch ,y
pris ,z
,
,
,
,
roll ,z
pris ,z
roll ,y
roll ,y
pitch ,y
pris ,y
,
,
,
,
roll ,z
pris ,z
roll ,y
roll ,y
pitch ,y
pitch ,z
,
,
,
,
roll ,z
pris ,z
roll ,y
roll ,y
pitch ,y
roll ,x
,
,
,
,
roll ,z
pris ,z
roll ,y
roll ,y
pitch ,y
pris ,x
,
,
,
,
roll ,z
pris ,z
roll ,y
roll ,y
pitch ,y
roll ,z
,
,
,
,
roll ,z
pris ,z
roll ,y
roll ,y
pitch ,y
pitch ,x
,
,
,
,
roll ,z
pris ,z
roll ,y
roll ,y
pris ,z
roll ,y
,
,
,
,
roll ,z
pris ,z
roll ,y
roll ,y
pris ,z
pitch ,y
,
,
,
,
roll ,z
pris ,z
roll ,y
roll ,y
pris ,z
pris ,y
,
,
,
,
roll ,z
pris ,z
roll ,y
roll ,y
pris ,y
roll ,y
,
,
,
,
roll ,z
pris ,z
roll ,y
roll ,y
pris ,y
pitch ,y
,
,
,
,
roll ,z
pris ,z
roll ,y
roll ,y
pris ,y
pris ,y
,
,
,
,
roll ,z
pris ,z
roll ,y
roll ,y
pris ,y
pitch ,z
,
,
,
,
roll ,z
pris ,z
roll ,y
roll ,y
pris ,y
roll ,x
,
,
,
,
roll ,z
pris ,z
roll ,y
roll ,y
pris ,y
pris ,x
,
,
,
,
roll ,z
pris ,z
roll ,y
roll ,y
pris ,y
roll ,z
,
,
,
,
roll ,z
pris ,z
roll ,y
roll ,y
pris ,y
pitch ,x
,
,
,
,
roll ,z
pris ,z
roll ,y
pitch ,y
roll ,y
roll ,y
,
,
,
,
roll ,z
pris ,z
roll ,y
pitch ,y
roll ,y
pitch ,y
,
,
,
,
roll ,z
pris ,z
roll ,y
pitch ,y
roll ,y
pris ,z
,
,
,
,
roll ,z
pris ,z
roll ,y
pitch ,y
roll ,y
pris ,y
,
,
,
,
roll ,z
pris ,z
roll ,y
pitch ,y
pitch ,y
roll ,y
,
,
,
,
roll ,z
pris ,z
roll ,y
pitch ,y
pitch ,y
pitch ,y
,
,
,
,
roll ,z
pris ,z
roll ,y
pitch ,y
pitch ,y
pris ,z
,
,
,
,
roll ,z
pris ,z
roll ,y
pitch ,y
pitch ,y
pris ,y
,
,
,
,
roll ,z
pris ,z
roll ,y
pitch ,y
pitch ,y
pitch ,z
,
,
,
,
roll ,z
pris ,z
roll ,y
pitch ,y
pitch ,y
roll ,x
,
,
,
,
roll ,z
pris ,z
roll ,y
pitch ,y
pitch ,y
pris ,x
,
,
,
,
roll ,z
pris ,z
roll ,y
pitch ,y
pitch ,y
roll ,z
,
,
,
,
roll ,z
pris ,z
roll ,y
pitch ,y
pitch ,y
pitch ,x
,
,
,
,
roll ,z
pris ,z
roll ,y
pitch ,y
pris ,z
roll ,y
,
,
,
,
roll ,z
pris ,z
roll ,y
pitch ,y
pris ,z
pitch ,y
,
,
,
,
roll ,z
pris ,z
roll ,y
pitch ,y
pris ,z
pris ,y
,
,
,
,
roll ,z
pris ,z
roll ,y
pitch ,y
pris ,z
pitch ,z
,
,
,
,
roll ,z
pris ,z
roll ,y
pitch ,y
pris ,z
roll ,x
,
,
,
,
roll ,z
pris ,z
roll ,y
pitch ,y
pris ,z
pris ,x
,
,
,
,
roll ,z
pris ,z
roll ,y
pitch ,y
pris ,z
roll ,z
,
,
,
,
roll ,z
pris ,z
roll ,y
pitch ,y
pris ,z
pitch ,x
,
,
,
,
roll ,z
pris ,z
roll ,y
pitch ,y
pris ,y
roll ,y
,
,
,
,
roll ,z
pris ,z
roll ,y
pitch ,y
pris ,y
pitch ,y
,
,
,
,
roll ,z
pris ,z
roll ,y
pitch ,y
pris ,y
pris ,y
,
,
,
,
roll ,z
pris ,z
roll ,y
pitch ,y
pris ,y
pitch ,z
,
,
,
,
roll ,z
pris ,z
roll ,y
pitch ,y
pris ,y
roll ,x
,
,
,
,
roll ,z
pris ,z
roll ,y
pitch ,y
pris ,y
pris ,x
,
,
,
,
roll ,z
pris ,z
roll ,y
pitch ,y
pris ,y
roll ,z
,
,
,
,
roll ,z
pris ,z
roll ,y
pitch ,y
pris ,y
pitch ,x
,
,
,
,
roll ,z
pris ,z
roll ,y
pitch ,y
pitch ,z
roll ,y
,
,
,
,
roll ,z
pris ,z
roll ,y
pitch ,y
pitch ,z
pitch ,y
,
,
,
,
roll ,z
pris ,z
roll ,y
pitch ,y
pitch ,z
pris ,z
,
,
,
,
roll ,z
pris ,z
roll ,y
pitch ,y
pitch ,z
pris ,y
,
,
,
,
roll ,z
pris ,z
roll ,y
pitch ,y
pitch ,z
pitch ,z
,
,
,
,
roll ,z
pris ,z
roll ,y
pitch ,y
pitch ,z
roll ,x
,
,
,
,
roll ,z
pris ,z
roll ,y
pitch ,y
